Filename	Seed	#Vars	#Clauses	Initial Temperature	Cooling Factor	Optimal found (SA)	Time (SA)	Population size	Tournament size	Mutation Prob.	%Mutation	%Elite	Optimal found (GA)	Time (GA)
test_data/jnh/jnh1.cnf	1678105989	100	850	61	0.005	850	0.0219637	100	5	60	1	5	848	0.82014
test_data/jnh/jnh1.cnf	1678105990	100	850	85	0.01	850	0.0300849	100	5	60	1	5	847	0.907402
test_data/jnh/jnh1.cnf	1678105991	100	850	86	0.01	849	0.0735705	100	5	60	1	5	848	0.918219
test_data/jnh/jnh1.cnf	1678105992	100	850	76	0.01	849	0.0794102	100	5	60	1	5	848	1.47291
test_data/jnh/jnh1.cnf	1678105994	100	850	76	0.01	849	0.0881456	100	5	60	1	5	848	0.876215
test_data/jnh/jnh1.cnf	1678105995	100	850	68	0.05	848	0.0229097	100	5	60	1	5	849	0.939039
test_data/jnh/jnh1.cnf	1678105995	100	850	68	0.1	848	0.00925531	100	5	60	1	5	846	0.89172
test_data/jnh/jnh1.cnf	1678105996	100	850	64	0.25	849	0.00734277	100	5	60	1	5	848	1.02451
test_data/jnh/jnh1.cnf	1678105997	100	850	77	0.5	846	0.00442702	100	5	60	1	5	846	0.935405
test_data/jnh/jnh1.cnf	1678105998	100	850	61	0.75	847	0.00252301	100	5	60	1	5	849	0.951981
test_data/jnh/jnh1.cnf	1678105999	100	850	73	0.9	849	0.00288269	100	5	60	1	5	848	0.911898
test_data/jnh/jnh10.cnf	1678106000	100	850	60	0.005	849	0.232825	100	5	60	1	5	846	0.913976
test_data/jnh/jnh10.cnf	1678106001	100	850	84	0.01	846	0.0849669	100	5	60	1	5	843	0.920564
test_data/jnh/jnh10.cnf	1678106002	100	850	66	0.01	846	0.132314	100	5	60	1	5	845	0.908145
test_data/jnh/jnh10.cnf	1678106003	100	850	62	0.01	846	0.094464	100	5	60	1	5	846	0.952802
test_data/jnh/jnh10.cnf	1678106005	100	850	77	0.01	847	0.164287	100	5	60	1	5	842	0.915359
test_data/jnh/jnh10.cnf	1678106006	100	850	87	0.05	849	0.0368903	100	5	60	1	5	846	0.943626
test_data/jnh/jnh10.cnf	1678106007	100	850	60	0.1	846	0.0127956	100	5	60	1	5	847	0.983364
test_data/jnh/jnh10.cnf	1678106008	100	850	65	0.25	848	0.00805268	100	5	60	1	5	846	0.980628
test_data/jnh/jnh10.cnf	1678106009	100	850	64	0.5	849	0.00564125	100	5	60	1	5	842	1.01233
test_data/jnh/jnh10.cnf	1678106010	100	850	76	0.75	846	0.0040367	100	5	60	1	5	844	0.939578
test_data/jnh/jnh10.cnf	1678106011	100	850	101	0.9	846	0.00320429	100	5	60	1	5	845	0.937066
test_data/jnh/jnh11.cnf	1678106012	100	850	80	0.005	848	0.763775	100	5	60	1	5	846	0.911419
test_data/jnh/jnh11.cnf	1678106013	100	850	68	0.01	846	0.121009	100	5	60	1	5	843	0.936
test_data/jnh/jnh11.cnf	1678106014	100	850	79	0.01	846	0.168335	100	5	60	1	5	844	0.964843
test_data/jnh/jnh11.cnf	1678106015	100	850	69	0.01	848	0.143509	100	5	60	1	5	842	1.0879
test_data/jnh/jnh11.cnf	1678106017	100	850	65	0.01	848	0.164543	100	5	60	1	5	845	0.959383
test_data/jnh/jnh11.cnf	1678106018	100	850	97	0.05	848	0.0373526	100	5	60	1	5	844	0.951928
test_data/jnh/jnh11.cnf	1678106019	100	850	85	0.1	848	0.0195094	100	5	60	1	5	847	0.976542
test_data/jnh/jnh11.cnf	1678106020	100	850	86	0.25	847	0.00776112	100	5	60	1	5	845	1.0505
test_data/jnh/jnh11.cnf	1678106021	100	850	71	0.5	845	0.00574614	100	5	60	1	5	848	0.981813
test_data/jnh/jnh11.cnf	1678106022	100	850	76	0.75	846	0.00774278	100	5	60	1	5	845	0.970269
test_data/jnh/jnh11.cnf	1678106023	100	850	77	0.9	848	0.00357195	100	5	60	1	5	844	0.985587
test_data/jnh/jnh12.cnf	1678106024	100	850	63	0.005	848	0.253691	100	5	60	1	5	847	1.02786
