File	#Vars	#Clauses	Optimal found (LS)	Time (LS)	Success Ratio (LS)	Optimal found (GLS)	Time (GLS)	Success Ratio (GLS)	Optimal found (SA)	Time (SA)	Success Ratio (SA)	Optimal found (GA)	Time (GA)	Success Ratio (GA)	Optimal found (MA)	Time (MA)	Success Ratio (MA)	Optimal found (ACO)	Time (ACO)	Success Ratio (ACO)	Optimal found (ST)	Time (ST)	Success Ratio (ST)
jnh1	100	850	846	0.00129564	0.9952941176	849	0.125243	0.9988235294	850	0.0194449	1	845	1.02155	0.9941176471	849	1.03383	0.9988235294	847	0.339981	0.9964705882	843	7.86819	0.991765
jnh2	100	850	840	0.00159217	0.9882352941	846	0.166464	0.9952941176	846	0.141938	0.9952941176	848	0.980388	0.9976470588	847	1.0891	0.9964705882	841	0.30587	0.9894117647	842	7.60271	0.990588
jnh3	100	850	832	0.00143046	0.9788235294	847	0.18243	0.9964705882	846	0.224228	0.9952941176	842	0.850787	0.9905882353	848	0.979788	0.9976470588	844	0.313677	0.9929411765	844	7.25916	0.992941
jnh4	100	850	836	0.00149211	0.9835294118	847	0.170413	0.9964705882	847	0.106881	0.9964705882	845	1.23311	0.9941176471	848	1.00156	0.9976470588	844	0.292498	0.9929411765	846	7.15935	0.995294
jnh5	100	850	837	0.000738276	0.9847058824	847	0.161261	0.9964705882	847	0.149956	0.9964705882	848	0.850927	0.9976470588	847	1.00541	0.9964705882	842	0.294329	0.9905882353	842	7.25032	0.990588
jnh6	100	850	838	0.00127634	0.9858823529	847	0.144114	0.9964705882	846	0.138401	0.9952941176	844	0.859902	0.9929411765	847	1.21152	0.9964705882	842	0.295273	0.9905882353	842	6.75323	0.990588
jnh7	100	850	832	0.00112497	0.9788235294	850	0.146246	1	850	0.0124457	1	846	0.933978	0.9952941176	850	0.20756	1	845	0.29395	0.9941176471	845	7.75644	0.994118
jnh8	100	850	835	0.00140524	0.9823529412	845	0.177272	0.9941176471	845	0.119508	0.9941176471	843	0.839556	0.9917647059	848	1.0099	0.9976470588	843	0.300429	0.9917647059	843	7.2799	0.991765
jnh9	100	850	837	0.00130737	0.9847058824	846	0.151787	0.9952941176	845	0.09451	0.9941176471	846	1.02251	0.9952941176	847	1.07907	0.9964705882	846	0.293054	0.9952941176	846	7.35512	0.995294
jnh10	100	850	839	0.00119863	0.9870588235	846	0.163665	0.9952941176	849	0.122207	0.9988235294	846	0.9572	0.9952941176	846	1.18373	0.9952941176	842	0.349598	0.9905882353	845	7.46698	0.994118
jnh11	100	850	835	0.00093783	0.9823529412	849	0.142306	0.9988235294	847	0.144919	0.9964705882	846	1.11523	0.9952941176	845	0.998591	0.9941176471	842	0.287579	0.9905882353	841	7.27809	0.989412
jnh12	100	850	841	0.0013518	0.9894117647	849	0.130867	0.9988235294	848	0.123447	0.9976470588	843	0.899975	0.9917647059	850	0.217967	1	847	0.288673	0.9964705882	843	7.24497	0.991765
jnh13	100	850	841	0.00155222	0.9894117647	848	0.153186	0.9976470588	847	0.0731365	0.9964705882	846	0.937505	0.9952941176	846	1.15671	0.9952941176	844	0.329004	0.9929411765	844	7.77186	0.992941
jnh14	100	850	843	0.00141982	0.9917647059	848	0.148793	0.9976470588	847	0.147329	0.9964705882	848	1.07172	0.9976470588	846	1.10104	0.9952941176	843	0.31867	0.9917647059	841	7.47243	0.989412
jnh15	100	850	839	0.00135742	0.9870588235	847	0.158534	0.9964705882	847	0.15239	0.9964705882	845	0.978835	0.9941176471	846	1.09211	0.9952941176	841	0.330378	0.9894117647	843	7.06629	0.991765
jnh16	100	850	838	0.00109652	0.9858823529	848	0.131749	0.9976470588	849	0.174889	0.9988235294	846	0.96749	0.9952941176	848	1.06074	0.9976470588	844	0.289601	0.9929411765	843	7.73063	0.991765
jnh17	100	850	835	0.0012271	0.9823529412	848	0.150165	0.9976470588	849	0.082871	0.9988235294	846	0.982822	0.9952941176	849	1.11003	0.9988235294	844	0.317342	0.9929411765	843	7.14697	0.991765
