Filename	Seed	#Vars	#Clauses	Optimal found (LS)	Time (LS)	Optimal found (GLS)	Time (GLS)
test_data/max_4_sat/4sat_100_700_37.cnf	1677856024	100	700	693	0.000752284	700	0.0219568
test_data/max_4_sat/4sat_100_700_3.cnf	1677856024	100	700	695	0.000985385	700	0.0246521
test_data/max_4_sat/4sat_100_700_49.cnf	1677856024	100	700	683	0.000226647	700	0.0627214
test_data/max_4_sat/4sat_100_700_33.cnf	1677856024	100	700	690	0.000891914	700	0.0335842
test_data/max_4_sat/4sat_100_700_5.cnf	1677856024	100	700	695	0.000551479	700	0.0142444
test_data/max_4_sat/4sat_100_700_30.cnf	1677856024	100	700	690	0.000603979	700	0.0379089
test_data/max_4_sat/4sat_100_700_9.cnf	1677856024	100	700	694	0.000533067	700	0.0808575
test_data/max_4_sat/4sat_100_700_28.cnf	1677856024	100	700	693	0.000780931	700	0.0159949
test_data/max_4_sat/4sat_100_700_7.cnf	1677856024	100	700	688	0.000438331	700	0.155233
test_data/max_4_sat/4sat_100_700_17.cnf	1677856025	100	700	692	0.000873961	700	0.059035
test_data/max_4_sat/4sat_100_700_4.cnf	1677856025	100	700	696	0.000426102	700	0.0144429
test_data/max_4_sat/4sat_100_700_38.cnf	1677856025	100	700	693	0.000581734	700	0.0461508
test_data/max_4_sat/4sat_100_700_40.cnf	1677856025	100	700	695	0.000656634	700	0.0156918
test_data/max_4_sat/4sat_100_700_24.cnf	1677856025	100	700	691	0.00051675	700	0.018959
test_data/max_4_sat/4sat_100_700_22.cnf	1677856025	100	700	693	0.00058857	700	0.0214474
test_data/max_4_sat/4sat_100_700_46.cnf	1677856025	100	700	694	0.000807697	700	0.0571063
test_data/max_4_sat/4sat_100_700_36.cnf	1677856025	100	700	691	0.000814351	700	0.0483192
test_data/max_4_sat/4sat_100_700_15.cnf	1677856025	100	700	694	0.000813487	700	0.0371887
test_data/max_4_sat/4sat_100_700_29.cnf	1677856025	100	700	694	0.000669186	700	0.00795697
test_data/max_4_sat/4sat_100_700_39.cnf	1677856025	100	700	693	0.000983869	700	0.028279
test_data/max_4_sat/4sat_100_700_23.cnf	1677856025	100	700	689	0.000446454	700	0.0663219
test_data/max_4_sat/4sat_100_700_16.cnf	1677856025	100	700	693	0.000978277	700	0.0520073
test_data/max_4_sat/4sat_100_700_6.cnf	1677856025	100	700	695	0.000949769	700	0.0270502
test_data/max_4_sat/4sat_100_700_48.cnf	1677856025	100	700	699	0.00071803	700	0.00209818
test_data/max_4_sat/4sat_100_700_1.cnf	1677856025	100	700	695	0.000823106	700	0.0956724
test_data/max_4_sat/4sat_100_700_27.cnf	1677856025	100	700	696	0.000828839	700	0.00924507
